DNN,Objective,T_threshold_C,Explorer_metric,Explorer_delay,Explorer_edp,Explorer_T_max_K,Explorer_T_max_C,MSA_metric,MSA_delay,MSA_edp,MSA_T_max_K,MSA_T_max_C,NSGA-II_metric,NSGA-II_delay,NSGA-II_edp,NSGA-II_T_max_K,NSGA-II_T_max_C,UCB_metric,UCB_delay,UCB_edp,UCB_T_max_K,UCB_T_max_C
ResNet-18,EDP,70,43111834811997.42,1890534.96484375,,323.2785339355469,50.13,79246908515594.53,1690123.7643602416,,333.650390625,60.5,100485699316907.12,3205793.1396535253,,331.67376708984375,58.52,103478338113535.53,3505990.725446069,,324.78057861328125,51.63
ResNet-18,EDP,80,27026077274683.027,1041355.015625,,338.4003601074219,65.25,66795580098933.65,3114830.9132688846,,327.37091064453125,54.22,87191042903936.58,1549590.5157970954,,337.8923645019531,64.74,101955968634441.77,2785411.77189146,,328.44647216796875,55.3
ResNet-18,EDP,90,26653117251456.08,1025129.1015625,,339.8167419433594,66.67,38078154274886.84,1191097.8210429398,,346.48052978515625,73.33,54775871409928.8,894266.0646513674,,355.88275146484375,82.73,96625216499259.25,1927355.6726711213,,331.96697998046875,58.82
ResNet-18,DELAY,70,868474.107421875,868474.107421875,,342.78387451171875,69.63,1484339.1051838193,1484339.1051838193,,338.9444274902344,65.79,1503320.208934634,1503320.208934634,,343.1165466308594,69.97,2187170.343701439,2187170.343701439,,343.0557861328125,69.91
ResNet-18,DELAY,80,876764.78125,876764.78125,,343.9108581542969,70.76,1501590.6593703316,1501590.6593703316,,351.5374755859375,78.39,1018455.4719699889,1018455.4719699889,,353.14410400390625,79.99,1447876.7789360678,1447876.7789360678,,352.1138916015625,78.96
ResNet-18,DELAY,90,859845.099609375,859845.099609375,,347.5240478515625,74.37,1098552.8508946733,1098552.8508946733,,358.4849853515625,85.33,1318057.2466788373,1318057.2466788373,,348.36956787109375,75.22,1770455.3942178974,1770455.3942178974,,338.4488220214844,65.3
ResNet-50,EDP,70,1389975687787847.8,3819718.9296875,,342.65960693359375,69.51,4348300947669185.0,27154602.00203778,,325.8653869628906,52.72,2389905084547686.0,11895035.344499057,,327.3912048339844,54.24,4052134235919372.0,12226685.112470742,,332.11590576171875,58.97
ResNet-50,EDP,80,1384891733850332.2,3678211.451171875,,344.3578186035156,71.21,4921270276046075.0,9019537.630902488,,349.9844970703125,76.83,1495970551224052.2,4423530.833797109,,352.06414794921875,78.91,6859150587820712.0,85243730.12257351,,332.9530334472656,59.8
ResNet-50,EDP,90,1333167441338585.5,3662175.837890625,,343.6529235839844,70.5,5199672060071019.0,36009414.47002408,,326.0392761230469,52.89,1459893863985749.8,3977659.0378380087,,363.13671875,89.99,1485967898104473.5,4037205.6945282416,,362.7576904296875,89.61
ResNet-50,DELAY,70,3718844.6953125,3718844.6953125,,343.0476989746094,69.9,12071407.834664572,12071407.834664572,,342.7730712890625,69.62,7183329.790731073,7183329.790731073,,343.1203308105469,69.97,12023312.204972573,12023312.204972573,,333.93603515625,60.79
ResNet-50,DELAY,80,3437770.439453125,3437770.439453125,,350.9183349609375,77.77,13329617.236351969,13329617.236351969,,347.3287353515625,74.18,6229512.971020969,6229512.971020969,,352.3995666503906,79.25,9114394.261636792,9114394.261636792,,345.2207336425781,72.07
ResNet-50,DELAY,90,3444127.86328125,3444127.86328125,,349.3858947753906,76.24,9167372.155177023,9167372.155177023,,362.221923828125,89.07,4074564.517739372,4074564.517739372,,359.42681884765625,86.28,4485499.036906009,4485499.036906009,,362.98724365234375,89.84
MobileBERT,EDP,70,1868009568476168.8,11055015.1875,,329.6856689453125,56.54,1849075090406614.8,15218938.074999148,,327.8857421875,54.74,1790272656010609.0,14321973.136638762,,328.644287109375,55.49,3191476744862536.5,24679804.98681341,,330.9671325683594,57.82
MobileBERT,EDP,80,1759143297690286.0,15196717.245117188,,325.9029846191406,52.75,1881331033809170.2,16267934.518445443,,327.8620910644531,54.71,2062662606559371.8,14852089.576606184,,327.22454833984375,54.07,3200508997177350.5,15116624.694051089,,338.7178649902344,65.57
MobileBERT,EDP,90,1807477987204084.8,14731409.622070312,,326.2784729003906,53.13,1881331033809170.2,16267934.518445443,,327.8620910644531,54.71,1810167227073879.8,14609637.37628757,,328.3458251953125,55.2,3115013361521150.0,14211259.176006028,,325.606689453125,52.46
MobileBERT,DELAY,70,6404796.656738281,6404796.656738281,,343.0729064941406,69.92,11031479.9974437,11031479.9974437,,334.4645690917969,61.31,6475382.502064314,6475382.502064314,,343.1471252441406,70.0,10959113.261677112,10959113.261677112,,342.38348388671875,69.23
MobileBERT,DELAY,80,6174878.687011719,6174878.687011719,,353.07281494140625,79.92,6913776.248797445,6913776.248797445,,341.0197448730469,67.87,9169604.483269738,9169604.483269738,,349.87158203125,76.72,8117944.965174689,8117944.965174689,,345.5159606933594,72.37
MobileBERT,DELAY,90,5620172.0126953125,5620172.0126953125,,361.213623046875,88.06,8241319.578920848,8241319.578920848,,352.1015930175781,78.95,6370107.737391598,6370107.737391598,,357.955810546875,84.81,10520900.15683668,10520900.15683668,,348.2659606933594,75.12
MobileNet-V3,EDP,70,135063985238964.11,1543613.251800537,,342.56427001953125,69.41,155037789792119.9,2115049.711601674,,335.4058532714844,62.26,192689715677556.9,1986948.6150245913,,343.13739013671875,69.99,227581846005134.2,2682926.8539438117,,334.7544250488281,61.6
MobileNet-V3,EDP,80,140580489202975.2,1727299.1013183594,,352.055908203125,78.91,189185038242506.0,5187414.336722388,,328.3884582519531,55.24,173045949659242.06,1750923.7705990046,,347.91717529296875,74.77,314970207329451.2,5167647.736622031,,325.6065673828125,52.46
MobileNet-V3,EDP,90,120015445112711.61,1460805.059715271,,349.68695068359375,76.54,145906477854431.66,1545807.6328878028,,356.7557678222656,83.61,152853384282960.53,2105989.3281822447,,335.3285217285156,62.18,256331956150237.9,2549751.3986653793,,339.8677673339844,66.72
